trade_idx,mode,param,old,new,reason,sample_size,recent_pnl,recent_expectancy,recent_win_rate,recent_drawdown,deadband,direction,explain
4,B,min_score,0.0,6.0,WR_LOW,5,-84.0,-16.8,0.2,-211.0,40.0,risk_down,Win rate 20% below floor 25% -> only take higher-quality setups.
5,B,session_cap,4.0,3.0,STREAK,6,-108.0,-17.9,0.167,-234.0,40.0,risk_down,4 losses in a row (normal for 29% WR!) -> twitchy cap on trades/day.
7,B,cooldown_skips,0.0,2.0,DD,8,-418.0,-52.2,0.125,-544.0,40.0,risk_down,"Rolling drawdown $-544 beyond trigger -400.0 -> sit out 2 trades to confirm it's drift, not noise."
9,B,min_score,6.0,7.0,WR_LOW,10,-141.0,-14.1,0.2,-544.0,40.0,risk_down,Win rate 20% below floor 25% -> only take higher-quality setups.
11,B,session_cap,3.0,4.0,RECOVER,10,357.0,35.7,0.2,-500.0,40.0,risk_up,Streak over -> cap back to default.
14,B,size_mult,1.0,1.25,HOT,10,2962.0,296.2,0.3,-310.0,40.0,risk_up,Twitchy thermostat: brief warm spell (exp $296) -> cranks heat UP (this is the hunting behavior).
19,B,size_mult,1.25,1.5,HOT,10,3318.0,331.8,0.4,-142.0,40.0,risk_up,Twitchy thermostat: brief warm spell (exp $332) -> cranks heat UP (this is the hunting behavior).
19,B,min_score,7.0,6.0,RECOVER,10,3318.0,331.8,0.4,-142.0,40.0,risk_up,Win rate normalized -> relax selectivity back toward default.
24,B,min_score,6.0,0.0,RECOVER,10,1102.0,110.2,0.6,-118.0,40.0,risk_up,Win rate normalized -> relax selectivity back toward default.
27,B,day_risk_mult,1.0,0.5,DAY_LOSS,10,1030.0,103.0,0.6,-214.0,40.0,risk_down,Day P&L $-238 below -200.0 -> half size for the rest of today.
28,B,session_cap,4.0,3.0,STREAK,10,725.0,72.5,0.5,-238.0,40.0,risk_down,4 losses in a row (normal for 29% WR!) -> twitchy cap on trades/day.
32,B,size_mult,1.5,1.25,EXP_NEG,10,-130.0,-13.0,0.2,-264.0,40.0,risk_down,"Thermostat: room measurably colder than normal (exp $-13 vs base $113, band $40) -> turn heat down."
32,B,min_score,0.0,6.0,WR_LOW,10,-130.0,-13.0,0.2,-264.0,40.0,risk_down,Win rate 20% below floor 25% -> only take higher-quality setups.
33,B,session_cap,3.0,2.0,STREAK,10,-125.0,-12.5,0.2,-330.0,40.0,risk_down,4 losses in a row (normal for 29% WR!) -> twitchy cap on trades/day.
38,B,size_mult,1.25,1.0,EXP_NEG,10,-32.0,-3.2,0.3,-149.0,40.0,risk_down,"Thermostat: room measurably colder than normal (exp $-3 vs base $95, band $40) -> turn heat down."
39,B,min_score,6.0,7.0,WR_LOW,10,-65.0,-6.5,0.2,-137.0,40.0,risk_down,Win rate 20% below floor 25% -> only take higher-quality setups.
43,B,size_mult,1.0,0.75,EXP_NEG,10,-38.0,-3.8,0.2,-212.0,40.0,risk_down,"Thermostat: room measurably colder than normal (exp $-4 vs base $82, band $40) -> turn heat down."
44,B,session_cap,2.0,3.0,RECOVER,10,580.0,58.0,0.3,-212.0,40.0,risk_up,Streak over -> cap back to default.
46,B,min_score,7.0,8.0,WR_LOW,10,507.0,50.7,0.2,-212.0,40.0,risk_down,Win rate 20% below floor 25% -> only take higher-quality setups.
48,B,size_mult,0.75,1.0,RECOVER,10,1055.0,105.5,0.3,-87.0,40.0,risk_up,Temperature back inside the deadband -> step back toward default. Never above it.
50,B,session_cap,3.0,4.0,RECOVER,10,1944.0,194.4,0.4,-83.0,40.0,risk_up,Streak over -> cap back to default.
51,B,min_score,8.0,7.0,RECOVER,10,1959.0,195.9,0.4,-83.0,40.0,risk_up,Win rate normalized -> relax selectivity back toward default.
53,B,size_mult,1.0,1.25,HOT,10,2022.0,202.2,0.5,-211.0,40.0,risk_up,Twitchy thermostat: brief warm spell (exp $202) -> cranks heat UP (this is the hunting behavior).
56,B,min_score,7.0,6.0,RECOVER,10,1317.0,131.7,0.5,-235.0,40.0,risk_up,Win rate normalized -> relax selectivity back toward default.
60,B,size_mult,1.25,1.0,EXP_NEG,10,-222.0,-22.2,0.2,-235.0,40.0,risk_down,"Thermostat: room measurably colder than normal (exp $-22 vs base $89, band $40) -> turn heat down."
60,B,session_cap,4.0,3.0,STREAK,10,-222.0,-22.2,0.2,-235.0,40.0,risk_down,4 losses in a row (normal for 29% WR!) -> twitchy cap on trades/day.
61,B,min_score,6.0,7.0,WR_LOW,10,-247.0,-24.7,0.2,-286.0,40.0,risk_down,Win rate 20% below floor 25% -> only take higher-quality setups.
65,B,size_mult,1.0,0.75,EXP_NEG,10,-75.0,-7.5,0.2,-351.0,40.0,risk_down,"Thermostat: room measurably colder than normal (exp $-7 vs base $81, band $40) -> turn heat down."
65,B,session_cap,3.0,4.0,RECOVER,10,-75.0,-7.5,0.2,-351.0,40.0,risk_up,Streak over -> cap back to default.
66,B,min_score,7.0,8.0,WR_LOW,10,-245.0,-24.5,0.1,-332.0,40.0,risk_down,Win rate 10% below floor 25% -> only take higher-quality setups.
70,B,size_mult,0.75,0.5,EXP_NEG,10,-422.0,-42.2,0.1,-360.0,40.0,risk_down,"Thermostat: room measurably colder than normal (exp $-42 vs base $70, band $40) -> turn heat down."
70,B,session_cap,4.0,3.0,STREAK,10,-422.0,-42.2,0.1,-360.0,40.0,risk_down,5 losses in a row (normal for 29% WR!) -> twitchy cap on trades/day.
71,B,cooldown_skips,0.0,2.0,DD,10,-489.0,-48.9,0.1,-477.0,40.0,risk_down,"Rolling drawdown $-477 beyond trigger -400.0 -> sit out 2 trades to confirm it's drift, not noise."
75,B,size_mult,0.5,0.75,RECOVER,10,101.0,10.1,0.2,-384.0,40.0,risk_up,Temperature back inside the deadband -> step back toward default. Never above it.
75,B,session_cap,3.0,4.0,RECOVER,10,101.0,10.1,0.2,-384.0,40.0,risk_up,Streak over -> cap back to default.
80,B,size_mult,0.75,1.0,RECOVER,10,656.0,65.6,0.4,-113.0,40.0,risk_up,Temperature back inside the deadband -> step back toward default. Never above it.
80,B,min_score,8.0,7.0,RECOVER,10,656.0,65.6,0.4,-113.0,40.0,risk_up,Win rate normalized -> relax selectivity back toward default.
85,B,min_score,7.0,6.0,RECOVER,10,264.0,26.4,0.4,-73.0,40.0,risk_up,Win rate normalized -> relax selectivity back toward default.
87,B,session_cap,4.0,3.0,STREAK,10,253.0,25.3,0.4,-118.0,40.0,risk_down,4 losses in a row (normal for 29% WR!) -> twitchy cap on trades/day.
92,B,min_score,6.0,0.0,RECOVER,10,816.0,81.6,0.4,-118.0,40.0,risk_up,Win rate normalized -> relax selectivity back toward default.
92,B,session_cap,3.0,4.0,RECOVER,10,816.0,81.6,0.4,-118.0,40.0,risk_up,Streak over -> cap back to default.
101,B,day_risk_mult,1.0,0.5,DAY_LOSS,10,615.0,61.5,0.5,-242.0,40.0,risk_down,Day P&L $-242 below -200.0 -> half size for the rest of today.
109,B,size_mult,1.0,0.75,EXP_NEG,10,-31.0,-3.1,0.3,-220.0,40.0,risk_down,"Thermostat: room measurably colder than normal (exp $-3 vs base $64, band $40) -> turn heat down."
115,B,size_mult,0.75,1.0,RECOVER,10,584.0,58.4,0.4,-38.0,40.0,risk_up,Temperature back inside the deadband -> step back toward default. Never above it.
118,B,min_score,0.0,6.0,WR_LOW,10,289.0,28.9,0.2,-53.0,40.0,risk_down,Win rate 20% below floor 25% -> only take higher-quality setups.
119,B,session_cap,4.0,3.0,STREAK,10,261.0,26.1,0.2,-92.0,40.0,risk_down,4 losses in a row (normal for 29% WR!) -> twitchy cap on trades/day.
