date,day,year,direction,contracts,gross,costs,pnl,won,score,n_today,exit_reason
2019-05-06 14:05:00-04:00,2019-05-06,2019,long,5,0.0,11.7,-11.7,False,4,1,stop
2019-05-06 14:30:00-04:00,2019-05-06,2019,long,5,150.0,11.7,138.3,True,4,2,target
2019-05-06 15:10:00-04:00,2019-05-06,2019,long,5,-32.5,11.7,-44.2,False,5,3,stop
2019-05-07 11:30:00-04:00,2019-05-07,2019,short,33,0.0,143.22,-143.22,False,7,1,stop
2019-05-07 13:45:00-04:00,2019-05-07,2019,short,10,0.0,23.4,-23.4,False,6,2,stop
2019-05-08 15:35:00-04:00,2019-05-08,2019,long,10,0.0,23.4,-23.4,False,6,1,stop
2019-05-08 16:00:00-04:00,2019-05-08,2019,short,20,-90.0,66.8,-156.8,False,7,2,eod_flatten
2019-05-09 10:40:00-04:00,2019-05-09,2019,short,10,-130.0,23.4,-153.4,False,6,1,stop
2019-05-09 12:35:00-04:00,2019-05-09,2019,long,5,300.0,11.7,288.3,True,4,2,target
2019-05-09 14:35:00-04:00,2019-05-09,2019,long,5,0.0,11.7,-11.7,False,3,3,stop
2019-05-09 15:50:00-04:00,2019-05-09,2019,long,5,-80.0,11.7,-91.7,False,3,4,stop
2019-05-10 10:40:00-04:00,2019-05-10,2019,short,10,740.0,23.4,716.6,True,6,1,target
2019-05-10 11:50:00-04:00,2019-05-10,2019,short,10,0.0,23.4,-23.4,False,6,2,stop
2019-05-10 14:10:00-04:00,2019-05-10,2019,long,5,0.0,11.7,-11.7,False,3,3,stop
2019-05-13 10:05:00-04:00,2019-05-13,2019,short,21,2520.0,91.14,2428.86,True,7,1,target
2019-05-13 13:15:00-04:00,2019-05-13,2019,short,10,0.0,23.4,-23.4,False,6,2,stop
2019-05-14 10:05:00-04:00,2019-05-14,2019,short,5,-95.0,11.7,-106.7,False,5,1,stop
2019-05-14 10:30:00-04:00,2019-05-14,2019,long,5,0.0,11.7,-11.7,False,5,2,stop
2019-05-14 11:25:00-04:00,2019-05-14,2019,long,5,292.5,11.7,280.8,True,3,3,target
2019-05-14 13:10:00-04:00,2019-05-14,2019,long,5,172.5,11.7,160.8,True,5,4,target
2019-05-15 13:35:00-04:00,2019-05-15,2019,long,10,325.0,23.4,301.6,True,6,1,target
2019-05-16 10:05:00-04:00,2019-05-16,2019,long,5,215.0,11.7,203.3,True,4,1,target
2019-05-16 11:40:00-04:00,2019-05-16,2019,long,5,175.0,11.7,163.3,True,4,2,target
2019-05-17 09:50:00-04:00,2019-05-17,2019,long,5,-60.0,11.7,-71.7,False,4,1,stop
2019-05-17 15:40:00-04:00,2019-05-17,2019,short,5,217.5,11.7,205.8,True,5,2,target
2019-05-21 11:20:00-04:00,2019-05-21,2019,long,5,0.0,11.7,-11.7,False,4,1,stop
2019-05-22 15:05:00-04:00,2019-05-22,2019,long,5,-42.5,11.7,-54.2,False,4,1,stop
2019-05-23 13:10:00-04:00,2019-05-23,2019,short,10,-125.0,23.4,-148.4,False,6,1,stop
