date,year,label,bars,regime_open,fvgs,trades,morning_pts,signed_pts
2019-05-06,2019,active,79,46,16,3,69.0,49.75
2019-05-07,2019,active,79,77,20,2,-31.75,77.5
2019-05-08,2019,active,79,65,18,2,-5.0,-42.5
2019-05-09,2019,active,79,71,14,4,-52.25,-68.0
2019-05-10,2019,active,79,78,25,3,-69.75,-96.75
2019-05-13,2019,active,79,62,15,2,-34.5,6.5
2019-05-14,2019,active,79,67,15,4,23.0,44.5
2019-05-15,2019,active,79,70,12,1,101.5,51.75
2019-05-16,2019,active,79,78,19,2,94.25,-10.0
2019-05-17,2019,active,79,73,21,2,54.5,-27.0
2019-05-20,2019,idle_no_pullback,79,69,15,0,21.0,-55.0
2019-05-21,2019,active,79,64,14,1,3.75,9.75
2019-05-22,2019,active,79,73,16,1,21.25,7.25
2019-05-23,2019,active,79,78,17,1,-13.75,53.25
2019-05-24,2019,active,79,74,13,1,-15.25,16.0
2019-05-27,2019,active,42,24,5,1,0.25,3.5
2019-05-28,2019,active,79,60,11,1,-3.5,23.25
2019-05-29,2019,active,79,78,18,4,17.0,-61.0
2019-05-30,2019,active,79,78,14,2,25.75,-39.75
2019-05-31,2019,active,79,66,14,1,1.25,-22.5
2019-06-03,2019,active,79,76,19,3,-30.5,126.25
2019-06-04,2019,active,79,65,20,3,35.5,59.75
2019-06-05,2019,idle_no_pullback,79,77,14,0,-69.5,-36.5
2019-06-06,2019,idle_no_pullback,79,76,6,0,-18.25,-44.5
2019-06-07,2019,active,79,71,11,3,92.5,12.5
2019-06-10,2019,active,79,64,13,2,64.75,-3.75
2019-06-11,2019,active,79,68,16,2,-18.75,64.5
2019-06-12,2019,idle_no_pullback,79,69,12,0,-28.25,-5.75
2019-06-13,2019,active,79,70,12,1,15.25,-22.75
2019-06-14,2019,active,79,67,34,4,-31.25,-49.25
2019-06-17,2019,active,79,56,14,2,46.75,-11.5
2019-06-18,2019,active,79,58,9,3,61.75,-24.5
2019-06-19,2019,active,79,50,8,2,-31.25,-37.25
2019-06-20,2019,active,79,60,15,2,-38.25,19.25
2019-06-21,2019,active,79,62,11,3,16.25,-1.0
2019-06-24,2019,active,79,66,9,2,0.5,-12.0
2019-06-25,2019,active,79,68,13,2,-43.0,78.0
2019-06-26,2019,active,79,62,14,4,27.25,-39.5
2019-06-27,2019,idle_no_pullback,79,58,6,0,8.25,-0.5
2019-06-28,2019,active,79,69,12,3,-27.5,-4.0
2019-07-01,2019,active,79,53,11,1,-38.75,30.75
2019-07-02,2019,active,79,68,14,1,13.5,-0.75
2019-07-03,2019,active,45,44,7,1,16.75,29.5
2019-07-04,2019,active,42,21,8,1,-3.0,-4.75
2019-07-05,2019,active,79,60,10,2,-27.25,-70.5
2019-07-08,2019,active,79,69,12,2,-28.25,-13.5
2019-07-09,2019,active,79,74,17,3,47.25,27.0
2019-07-10,2019,active,79,54,15,2,21.75,-4.25
2019-07-11,2019,idle_no_pullback,79,65,14,0,-16.25,7.75
2019-07-12,2019,active,79,65,11,2,4.5,22.0
2019-07-15,2019,active,79,75,11,2,-12.0,-16.0
2019-07-16,2019,active,79,75,13,1,1.25,-24.5
2019-07-17,2019,active,79,69,14,1,-5.75,13.5
2019-07-18,2019,active,79,71,19,2,21.0,37.0
2019-07-19,2019,active,79,76,18,2,-41.75,62.25
2019-07-22,2019,active,79,70,15,3,20.25,33.25
2019-07-23,2019,active,79,72,16,3,-30.0,-21.25
2019-07-24,2019,active,79,72,17,4,45.0,28.5
2019-07-25,2019,active,79,78,14,2,-29.5,26.0
2019-07-26,2019,active,79,51,9,1,9.25,29.75
2019-07-29,2019,active,79,69,15,3,-51.25,-28.25
2019-07-30,2019,active,79,61,15,3,26.0,13.75
